Category,Feature,Task,Hour,Description,Formula,Special note,Question
Admin Dashboard API,,,,"Can export, generate reports, and drill down by owner/fleet, camper vehicle, or timeframe, and timezone, currency, locations if applicable",,,
,Fleet & Booking Performance,,,,,,
,,Occupancy Rate (%),4,% of total available nights booked,(Booked nights ÷ Total available nights) × 100,,
,,Average Booking Length (days),4,Avg. nights per booking,Total booked nights ÷ Total bookings,,
,,Utilization per Camper,4,Days rented per camper,SUM(booked_days) GROUP BY vehicle_id,,
,,Revenue per Camper (€),4,Income per vehicle,SUM(total_price) GROUP BY vehicle_id,,
,,Cancellation Rate (%),4,% of cancelled bookings,(Cancelled ÷ Confirmed) × 100,,
,,Lead Time (days),4,Avg. time between booking and pickup,AVG(pickup_date - booking_date),,
,,Repeat Booking Rate (%),5,Returning customers ratio,(Returning renters ÷ Total renters) × 100,,
,,,,,,,
,Financial & Marketing Performance,,,,,,
,,Gross Booking Value (GBV),4,Total income before fees,SUM(total_booking_amount),Group by currency,Is it possibe to have multiple currency for each fleet admin? how do we show the report for locations?
,,Commission Revenue (€),4,Platform earnings,SUM(total_booking_amount × commission_rate),Group by currency,what to do when there are multi currencies?
,,Owner Payout (€),4,Total payouts to owners,SUM(owner_payouts),Group by currency,Group by countries
,,Average Daily Rate (ADR),4,Avg. daily rental rate,Total booking revenue ÷ Total booked nights,Group by currency,or group by currency
,,Conversion Rate (%),12,Visitors to confirmed bookings,(Confirmed bookings ÷ Visitors) × 100,"Group by currency, need to have visitors metrics
- Can use Google Analytics to track unique visitors
- Call Google Analytis to get the number of unique visitors",
,,Cost per Acquisition (CPA),12,Ad spend per confirmed booking,Total ad spend ÷ Confirmed bookings,"Group by currency, needs to have ads metrics and pixel
-  Use ad platform conversion tracking (Meta Pixel, Google Ads Conversion Tag)
-  When a user clicks on an ad, the platform appends a click ID (e.g., gclid, fbclid)
-   You capture that ID and persist it in the booking session
-  On booking confirmation, fire the conversion event with the original click ID back to the ad platform
-  This allows the ad platform to track CPA natively, attribute correctly, and optimize campaigns
- 12 hrs for one ad paltform, and additional 5 hour for each ad platform",
,,Customer Lifetime Value (CLV),4,Avg. value per renter,Avg. booking value × Avg. bookings per renter,Group by currency,
,,Top Performing Channels,4,Bookings by source,GROUP BY source_channel,"Group by currency, need to have source channel info",
,,,,,,,
,Customer & Communication Performance (Data Store),,,,,,
,,,,,,,
,,first_conversation_initiated,4,,waiting message start time,,
,,"first responded_at, response_time",4,,"- define what “first reply"", reply time
- calculate the reply time and save to db",,
,,conversation_start_time,2,,,,
,,"conversation_reply_time, response time",2,,,,
,,resolution time,4,,define what resolution is,,
,,,,,,,
