ron,Feature,Task,Hour,Description,Comment,Note,Discussion,Updated,,,,,
DevOps,,,,,,,,,,,,,
,Servers,Server Configuration,8,Configure development and production environments. Store and retrieve keys and secrets using a secret manager.,Checked,,,,,,,,
,,Dockerize Containers,4,Dockerize all relevant services and applications for consistent local and production environments.,Checked,,,,,,,,
,,CI/CD,4,"Set up CI/CD pipeline for automated testing, builds, and deployment to staging/production.",Checked,,,,,,,,
,,,,,,,,,,,,,
System,,,,,,,,,,,,,
,Image Service,,,,,,,,,,,,
,,Create,8,"- Upload to cloud storage
- Front-end cropper and file type validation
- Secure write access
- Assumes backend does not generate multiple resolutions",Checked,,,,,,,,
,,Read,6,"- Serve images through CDN with caching
- Secure read access",Checked,,,,,,,,
,,,,,,,,,,,,,
,Email Service,,,"Without trip begin, or trip end email notifications.",,,,,,,,,
,,Basic Email Template,4,"- Develop reusable HTML email template (header, footer, shared styles)
- Store in a third-party email platform (e.g., SendGrid or Mailchimp) to support future Zapier phase-out",Checked,,,,,,,,
,,Offline Message Notification Template,2,"- Email notification to fleet admin or user when a message is received and the recipient is offline
- Include both English and Dutch versions",Checked,,,,,,,,
,,Booking Confirmation Template,2,"- Triggered on booking confirmation
- Includes English and Dutch versions",Checked,,,,,,,,
,,Booking Update Template,2,"- Triggered when a booking is updated
- Includes English and Dutch versions",Checked,,,,,,,,
,,Booking Cancellation Template,2,"- Triggered when a booking is cancelled
- Includes English and Dutch versions",Checked,,,,,,,,
,,Abandoned Booking Reminder Template,2,"- Reminder email for abandoned bookings sent X hours after abandonment
- Includes English and Dutch versions
- One template per fleet admin; the X-hour delay is fixed system-wide and not configurable by fleet admins",Checked,,,,,,,,
,,Booking Start Reminder Email Template,2,"- Reminder sent N hours before the start of the booking
- Includes English and Dutch versions",Checked,,,,,,,,
,,Booking Return Reminder Email Template,2,"- Reminder sent N hours before the end of the booking
- Includes English and Dutch versions",Checked,,,10/12/2025,,,,,
,,Finalize Payment Email Template,2,"- Email sent when final payment is processed
- Includes English and Dutch versions",Checked,,,,,,,,
,,End trip Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,9/16/2025,,,,,
,,Payment to fleed admin Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,already included in notification,,9/16/2025,,,,,
,,Fleet Sign Up Pending Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,8/26/2025,,,,,
,,Fleed Sign Up Approval Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,8/26/2025,,,,,
,,Customer to Fleet Review Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,9/2/2025,,,,,
,,,,,,,,,,,,,
,Cron Service,Booking Reminder,6,"-  Upcoming trip: Triggers a reminder email N days before the booking start date
- Camper return today: Triggers one day before the the return
- The value of N is stored in a config file
- Applies system-wide (not configurable per fleet admin)",Checked,,,10/12/2025,,,,,
,,Abandoned Booking Reminder,6,"- Periodically checks for abandoned bookings
- Sends a reminder email to the user encouraging them to complete the booking",Checked,,,,,,,,
,,Partial Payment Auto-Charge,8,"- Automatically charges the remaining balance when the booking is less than 30 days away
- Assumes integration with the payment system",Checked,,,,,,,,
,,Automate Payment for Fleet Admin,8,"- Automatically calculates and transfers earnings to each fleet admin based on completed bookings
- Runs on a fixed schedule (e.g., daily or weekly)
- Assumes integration with Stripe Connect or equivalent for payout
- Includes fee calculation (e.g., subtracting platform commission)
- Logs and stores payout records for reporting and audit purposes",Checked,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Language service,Language Service,8,"- Backend key-value mapping system
- Used for both system language translation (e.g., feature labels) and fleet-customized content
- Used for content, such as vehicle title, description
- it's not used for database ENUM type
- It's not used for UI language",Checked,"We need to check how many languages ​​we want to have.
If we need to use 3 or more languages, we should consider some translation libraries,
and also maybe automate the translations from English.
Workflow Idea
- Keep English as the source language in JSON files.
- Add a script (Node.js CLI) that:
- Reads en.json.
- For missing keys in fr.json, es.json, etc., calls Google/DeepL/OpenAI API.
- Saves back updated translation files.
- In dev, fallback to English if a translation is missing.","Need to reconsider, if this is really needed.",08/28/2025,,,,,
,,Available Languages,1,"- List of supported languages
- Internal database access only (not exposed in admin UI)",Checked,,,08/28/2025,,,,,
,,UI Language ,0,Use library like React-i18next. The hour is broken down into each feature.,Checked,,,08/28/2025,,,,,
,,,,,,,,,,,,,
,Payment,,,,,,,,,,,,
,,Stripe Credit Card Integration,8,Setup and test payment flow with Stripe Elements,,"We probably need to implement partial payment
that will also take some time",,,,,,,
,,iDEAL Payment Integration,5,Enable and test iDEAL as an alternative method,,"Stripe as a single integration
Stripe is your main payment processor.
You create a PaymentIntent (or Checkout Session), and you tell Stripe which payment methods you want to accept (e.g., ""card"", ""ideal"").
Stripe handles the routing to either card processing or iDEAL, depending on what the customer selects.",,,,,,,
,,Booking Flow Update,6,Connect booking confirmation to trigger Stripe payment,,,,,,,,,
,,Stripe Connect Setup,16,Enable multi-fleet payout via Stripe Connect,,,,,,,,,
,,Fleet Admin Onboarding,,"- KYC support, assuming we're using the FE component from Stripe to handle",,,,,,,,,
,,Fleet Admin Management,12,UI and backend for managing connected accounts,,,,,,,,,
,,Error Handling & Logging,6,Implement transaction logging and error management,,,,,,,,,
,,,,,,,,,,,,,
,,Booking Payment Deposit,8,- Apply a percentage-based deposit if the reservation is made more than 30 days before pickup,,,,,,,,,
,,Balance Due (30 Days),0,Balance is automatically charged 30 days before pickup (handled in cron auto-charge),,,,,,,,,
,,Refund Handling,8,"- Supports partial or full refunds based on cancellation timing:  
• 0–30 days before pickup → No refund  
• 30–60 days before pickup → 50% refund  
• 60+ days before pickup → Full refund
",,,,,,,,,
